filename,true_labels,predicted_label,max_confidence,score_bird,score_rain,score_frog,score_Construction Site
1001_20260613_T062500.wav,rain,frog,0.06899327,-0.04392877,0.01473802,0.06899327,0.06369878
1001_20260613_T063000.wav,rain,Construction Site,0.0731688,-0.04902424,0.011409286,0.06983815,0.0731688
1001_20260613_T063500.wav,rain,Construction Site,0.07993549,-0.04285578,0.018818097,0.06879822,0.07993549
1001_20260613_T064000.wav,rain,Construction Site,0.06766333,-0.051662426,0.0068334118,0.06596999,0.06766333
1001_20260614_T030513.wav,"frog, Construction Site",Construction Site,0.10246885,-0.08178395,-0.2232365,0.06823839,0.10246885
1001_20260614_T031013.wav,"frog, Construction Site",Construction Site,0.066291556,-0.1095936,-0.22890675,0.05218722,0.066291556
1001_20260614_T031513.wav,"frog, Construction Site",frog,0.21922347,-0.0071798973,-0.122212775,0.21922347,0.16883186
1001_20260614_T032013.wav,"frog, Construction Site",Construction Site,0.14892861,-0.042928826,-0.14272197,0.14849669,0.14892861
1001_20260614_T032513.wav,"frog, Construction Site",frog,0.15235043,-0.087593324,-0.14086302,0.15235043,0.11312146
1001_20260614_T033013.wav,"frog, bird, Construction Site",frog,0.17256978,-0.05046239,-0.1523827,0.17256978,0.13858965
1001_20260614_T034013.wav,"frog, bird, Construction Site",frog,0.13989295,-0.075565115,-0.1973268,0.13989295,0.08850843
1001_20260614_T035513.wav,"frog, Construction Site",frog,0.16774988,-0.026979135,-0.16574949,0.16774988,0.07501336
1001_20260614_T040013.wav,"frog, bird, Construction Site",frog,0.16966626,-0.059053004,-0.1694357,0.16966626,0.12075005
1001_20260614_T040513.wav,frog,frog,0.13130724,-0.036184367,-0.20369887,0.13130724,0.09915153
1001_20260614_T041013.wav,frog,frog,0.15100804,-0.038265087,-0.18201336,0.15100804,0.09616153
1001_20260614_T041513.wav,"frog, bird, Construction Site",frog,0.1710739,-0.03324446,-0.17595541,0.1710739,0.06991129
1001_20260614_T042013.wav,"frog, bird, Construction Site",frog,0.12429573,-0.064769365,-0.19774267,0.12429573,0.07430862
1001_20260614_T042513.wav,"frog, bird, Construction Site",frog,0.13133247,-0.031634826,-0.20927934,0.13133247,0.08604048
1001_20260614_T043013.wav,"frog, bird, Construction Site",frog,0.15245995,-0.07725696,-0.18596269,0.15245995,0.094714165
1001_20260615_T025000.wav,"frog, bird, Construction Site",frog,0.11633323,-0.07594329,-0.17471926,0.11633323,0.11106981
1001_20260615_T030000.wav,"frog, bird, Construction Site",Construction Site,0.06275803,-0.12889652,-0.23006867,0.037695363,0.06275803
1001_20260615_T030500.wav,"frog, bird, Construction Site",frog,0.08512538,-0.107797004,-0.2280814,0.08512538,0.039416574
1001_20260615_T031000.wav,"frog, bird, Construction Site",Construction Site,0.07258124,-0.13232821,-0.15606546,0.05096254,0.07258124
1001_20260615_T033500.wav,"frog, bird, Construction Site",frog,0.15097314,-0.09258686,-0.15324244,0.15097314,0.1092164
1001_20260615_T040000.wav,"frog, bird",frog,0.25619054,-0.021089673,-0.12427531,0.25619054,0.14395684
1001_20260615_T040500.wav,frog,frog,0.21313605,-0.08114292,-0.06037043,0.21313605,0.06760974
1001_20260615_T041500.wav,"frog, bird",frog,0.10865158,-0.0853878,-0.17504503,0.10865158,0.099029556
1001_20260615_T042000.wav,"frog, bird, Construction Site",frog,0.10346855,-0.121248566,-0.16363294,0.10346855,0.044249304
